,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_id,exp_stage,block_num,stimulus_duration,cue_location,stim_location,condition,correct_response,choices,correct_trial,ITIParams,attention_check_question,current_key_answer,attention_check_percent
926,,html-keyboard-response,926,632894,0.0-3.2-126.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,1360.9936333759817,,,test,2.0,1360.9936333759817,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
927,,html-keyboard-response,927,633395,0.0-3.2-127.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation_1,500.0,,,test,,500.0,,,,,,,,,,
928,,html-keyboard-response,928,633896,0.0-3.2-128.2,,"<div class = bigbox><div id=left_box style=""border-width:15px""></div></div><div class = bigbox><div id=right_box style=""border-width:15px""></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,2.0,500.0,,,,,,,,,,
929,,html-keyboard-response,929,634594,0.0-3.2-129.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation_2,691.0,,,test,,691.0,,,,,,,,,,
930,,html-keyboard-response,930,635598,0.0-3.2-130.2,,"<div class = bigbox><div id=left_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1000.0,,,test,2.0,1000.0,both,left,doublecue,",","[',', '.']",0.0,,,,
931,,html-keyboard-response,931,636572,0.0-3.2-131.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,967.1241746239386,,,test,2.0,967.1241746239386,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
932,,html-keyboard-response,932,637074,0.0-3.2-132.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation_1,500.0,,,test,,500.0,,,,,,,,,,
933,,html-keyboard-response,933,637577,0.0-3.2-133.2,,"<div class = bigbox><div id=right_box style=""border-width:15px""></div></div><div class = bigbox><div id=left_box style=""border-width:15px""></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,2.0,500.0,,,,,,,,,,
934,,html-keyboard-response,934,638274,0.0-3.2-134.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation_2,691.0,,,test,,691.0,,,,,,,,,,
935,,html-keyboard-response,935,639281,0.0-3.2-135.2,,"<div class = bigbox><div id=right_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=left_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1000.0,,,test,2.0,1000.0,both,right,doublecue,.,"[',', '.']",0.0,,,,
936,,html-keyboard-response,936,639683,0.0-3.2-136.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,397.2701066394183,,,test,2.0,397.2701066394183,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
937,,html-keyboard-response,937,640188,0.0-3.2-137.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation_1,500.0,,,test,,500.0,,,,,,,,,,
938,,html-keyboard-response,938,640692,0.0-3.2-138.2,,"<div class = bigbox><div id=right_box style=""border-width:15px""></div></div><div class = bigbox><div id=left_box style=""border-width:15px""></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,2.0,500.0,,,,,,,,,,
939,,html-keyboard-response,939,641390,0.0-3.2-139.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation_2,691.0,,,test,,691.0,,,,,,,,,,
