,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,stimulus_duration,block_num,correct_response,condition,choices,correct_trial,ITIParams,attention_check_question,current_key_answer,exp_id,attention_check_percent
84,,html-keyboard-response,84,83221,0.0-3.0-52.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,16.769542807352813,,test,16.769542807352813,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
85,,html-keyboard-response,85,83726,0.0-3.0-53.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
86,,html-keyboard-response,86,85230,0.0-3.0-54.0,,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div id = stim2></div></div></div></div></div>,,test_trial,1500.0,,test,1000.0,0.0,,nogo,"[',']",1.0,,,,,
87,,html-keyboard-response,87,86188,0.0-3.0-55.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,951.7934701783072,,test,951.7934701783072,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
88,,html-keyboard-response,88,86692,0.0-3.0-56.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
89,,html-keyboard-response,89,88198,0.0-3.0-57.0,377.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
90,,html-keyboard-response,90,88297,0.0-3.0-58.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,93.62141235209236,,test,93.62141235209236,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
91,,html-keyboard-response,91,88802,0.0-3.0-59.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
92,,html-keyboard-response,92,90306,0.0-3.0-60.0,358.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
93,,html-keyboard-response,93,90691,0.0-3.0-61.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,379.8471850025902,,test,379.8471850025902,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
94,,html-keyboard-response,94,91196,0.0-3.0-62.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
95,,html-keyboard-response,95,92702,0.0-3.0-63.0,430.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
96,,html-keyboard-response,96,93097,0.0-3.0-64.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,392.14214170556164,,test,392.14214170556164,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
97,,html-keyboard-response,97,93599,0.0-3.0-65.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
98,,html-keyboard-response,98,95106,0.0-3.0-66.0,457.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
99,,html-keyboard-response,99,95845,0.0-3.0-67.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,733.100195456269,,test,733.100195456269,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
100,,html-keyboard-response,100,96352,0.0-3.0-68.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
101,,html-keyboard-response,101,97858,0.0-3.0-69.0,437.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
102,,html-keyboard-response,102,98093,0.0-3.0-70.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,231.56735073582135,,test,231.56735073582135,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
103,,html-keyboard-response,103,98598,0.0-3.0-71.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
104,,html-keyboard-response,104,100103,0.0-3.0-72.0,281.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
105,,html-keyboard-response,105,100203,0.0-3.0-73.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,97.80789270692648,,test,97.80789270692648,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
106,,html-keyboard-response,106,100706,0.0-3.0-74.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
