,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,stimulus_duration,correct_response,condition,flanker,center_letter,choices,block_num,correct_trial,ITIParams,attention_check_question,current_key_answer,current_block,exp_id,attention_check_percent
0,True,fullscreen,0,2670,0.0-0.0,,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,5084,0.0-1.0-0.0,2412.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 7 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,,
2,,instructions,2,26205,0.0-1.0-1.0,21121.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 21120}]",,,,,,,,,,,,,,,
3,,html-keyboard-response,3,27215,0.0-2.0-0.0,1008.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,,,,,,,,,,,,,,
4,,html-keyboard-response,4,28720,0.0-2.0-1.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,,,,,,,,,,,,,
5,,html-keyboard-response,5,30228,0.0-2.0-2.0,534.0,"<div class = bigbox><div class = centerbox><div class = flankerLeft_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerLeft_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerMiddle><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerRight_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerRight_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div></div></div>",",",practice_trial,1500.0,,practice,1000.0,",",congruent,H,H,"[',', '.']",0.0,1.0,,,,,,
6,,html-keyboard-response,6,30734,0.0-2.0-3.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,500.0,,,,,,,,,,,,,
7,,html-keyboard-response,7,30934,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,194.088252973149,,practice,194.088252973149,,,,,,0.0,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
8,,html-keyboard-response,8,31438,0.0-2.0-5.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,,,,,,,,,,,,,
9,,html-keyboard-response,9,32945,0.0-2.0-6.0,475.0,"<div class = bigbox><div class = centerbox><div class = flankerLeft_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerLeft_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerMiddle><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerRight_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerRight_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div></div></div>",.,practice_trial,1500.0,,practice,1000.0,.,congruent,F,F,"[',', '.']",0.0,1.0,,,,,,
10,,html-keyboard-response,10,33448,0.0-2.0-7.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,500.0,,,,,,,,,,,,,
11,,html-keyboard-response,11,33649,0.0-2.0-8.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,194.59446914160594,,practice,194.59446914160594,,,,,,0.0,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
12,,html-keyboard-response,12,34153,0.0-2.0-9.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,,,,,,,,,,,,,
