,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_id,exp_stage,block_num,stimulus_duration,CTI,cue_location,stim_location,condition,correct_response,choices,correct_trial,ITIParams,current_question,current_key_answer,attention_check_percent
314,,html-keyboard-response,314,233650,0.0-3.0-165.0,421.0,"<div class = bigbox><div id=left_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",",",test_trial,1500.0,,,test,0.0,1000.0,,none,left,nocue,",","[',', '.']",1,,,,
315,,html-keyboard-response,315,234167,0.0-3.0-166.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,510.28601029875097,,,test,0.0,510.28601029875097,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
316,,html-keyboard-response,316,234671,0.0-3.0-167.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
317,,html-keyboard-response,317,235175,0.0-3.0-168.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
318,,html-keyboard-response,318,235731,0.0-3.0-169.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,550.0,,,test,0.0,550.0,550.0,,,,,,,,,,
319,,html-keyboard-response,319,237234,0.0-3.0-170.0,674.0,"<div class = bigbox><div id=left_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",",",test_trial,1500.0,,,test,0.0,1000.0,,none,left,nocue,",","[',', '.']",1,,,,
320,,html-keyboard-response,320,237424,0.0-3.0-171.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,186.5994428966957,,,test,0.0,186.5994428966957,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
321,,html-keyboard-response,321,237929,0.0-3.0-172.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
322,,html-keyboard-response,322,238432,0.0-3.0-173.0,,"<div class = bigbox><div id=right_box style=""border-width:15px""></div></div><div class = bigbox><div id=left_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
323,,html-keyboard-response,323,239438,0.0-3.0-174.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,1000.0,,,test,0.0,1000.0,1000.0,,,,,,,,,,
324,,html-keyboard-response,324,240941,0.0-3.0-175.0,,"<div class = bigbox><div id=right_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=left_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1500.0,,,test,0.0,1000.0,,right,right,valid,.,"[',', '.']",0,,,,
325,,html-keyboard-response,325,241632,0.0-3.0-176.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,688.8352693487728,,,test,0.0,688.8352693487728,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
326,,html-keyboard-response,326,242137,0.0-3.0-177.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
327,,html-keyboard-response,327,242639,0.0-3.0-178.0,,"<div class = bigbox><div id=left_box style=""border-width:15px""></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
328,,html-keyboard-response,328,242746,0.0-3.0-179.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,100.0,,,test,0.0,100.0,100.0,,,,,,,,,,
329,,html-keyboard-response,329,244253,0.0-3.0-180.0,,"<div class = bigbox><div id=left_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1500.0,,,test,0.0,1000.0,,left,left,valid,",","[',', '.']",0,,,,
330,,html-keyboard-response,330,244338,0.0-3.0-181.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,79.86928932241001,,,test,0.0,79.86928932241001,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
331,,html-keyboard-response,331,244843,0.0-3.0-182.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
332,,html-keyboard-response,332,245348,0.0-3.0-183.0,,"<div class = bigbox><div id=left_box style=""border-width:15px""></div></div><div class = bigbox><div id=right_box style=""border-width:15px""></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
