,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,condition,choices,stimulus_duration,correct_spatial_judgement_key,num_block,spatial_location,correct_trial,spatial_sequence,rt_each_spatial_location_response_grid,rt_total_response_grid,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
18,,html-keyboard-response,18,37481,0.0-3.0-3.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,7.0,,,,,,,,,
19,,html-keyboard-response,19,40488,0.0-3.0-4.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
20,,html-keyboard-response,20,41493,0.0-3.0-5.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,12.0,,,,,,,,,
21,,html-keyboard-response,21,44500,0.0-3.0-6.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
22,,html-keyboard-response,22,45507,0.0-3.0-7.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,6.0,,,,,,,,,
23,,html-keyboard-response,23,48513,0.0-3.0-8.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
24,,html-keyboard-response,24,49517,0.0-3.0-9.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,9.0,,,,,,,,,
25,,html-keyboard-response,25,54524,0.0-3.0-10.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box response-active""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",[],test_response,5000.0,,test,0.0,simple,['NO_KEYS'],5000.0,,,,,"[7, 12, 6, 9]",[],0.0,,,,,
26,,html-keyboard-response,26,56941,0.0-3.0-11.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,2411.079861054603,,test,0.0,,,2411.079861054603,,,,,,,,"{'min': 2, 'max': 20, 'mean': 5}",,,,
27,,html-keyboard-response,27,59948,0.0-3.0-12.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
