,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,response_ends_trial,SS_stimulus,SS_trial_type,SS_duration,SSD,choices,correct_choice,stim,correct_response,currentTrial,condition,stop_acc,correct_trial,ITIParams,go_acc,current_question,current_key_answer,exp_id,attention_check_percent
583,,poldracklab-stop-signal,583,488033,0.0-3.2-141.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,1000.0,"[',', '.']",,circle,,47.0,stop,,1,,,,,,
584,,html-keyboard-response,584,488523,0.0-3.2-142.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,485.3629195577276,,test,2.0,485.3629195577276,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
585,,html-keyboard-response,585,489030,0.0-3.2-143.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
586,,poldracklab-stop-signal,586,490533,0.0-3.2-144.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,1000.0,"[',', '.']",,circle,,48.0,stop,,1,,,,,,
587,,html-keyboard-response,587,490953,0.0-3.2-145.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,414.007715054147,,test,2.0,414.007715054147,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
588,,html-keyboard-response,588,491460,0.0-3.2-146.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
589,,poldracklab-stop-signal,589,492962,0.0-3.2-147.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,1000.0,"[',', '.']",,square,.,49.0,go,,1,,0.0,,,,
590,,html-keyboard-response,590,493070,0.0-3.2-148.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,102.07319323847051,,test,2.0,102.07319323847051,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
591,,html-keyboard-response,591,493577,0.0-3.2-149.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
592,,poldracklab-stop-signal,592,495079,0.0-3.2-150.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,1000.0,"[',', '.']",,square,.,50.0,go,,1,,0.0,,,,
