,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,response_ends_trial,SS_stimulus,SS_trial_type,SS_duration,SSD,choices,correct_choice,stim,correct_response,currentTrial,condition,stop_acc,correct_trial,ITIParams,go_acc,current_question,current_key_answer,exp_id,attention_check_percent
109,,html-keyboard-response,109,87676,0.0-3.0-31.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,43.79696496897862,,test,0.0,43.79696496897862,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
110,,html-keyboard-response,110,88183,0.0-3.0-32.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
111,,poldracklab-stop-signal,111,89688,0.0-3.0-33.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,500.0,"[',', '.']",,circle,,11.0,stop,1.0,1,,,,,,
112,,html-keyboard-response,112,89874,0.0-3.0-34.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,179.65283984090584,,test,0.0,179.65283984090584,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
113,,html-keyboard-response,113,90380,0.0-3.0-35.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
114,,poldracklab-stop-signal,114,91887,0.0-3.0-36.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,550.0,"[',', '.']",,circle,,12.0,stop,1.0,1,,,,,,
115,,html-keyboard-response,115,92413,0.0-3.0-37.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,521.6954157270111,,test,0.0,521.6954157270111,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
116,,html-keyboard-response,116,92918,0.0-3.0-38.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
117,,poldracklab-stop-signal,117,94422,0.0-3.0-39.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,600.0,"[',', '.']",,square,,13.0,stop,1.0,1,,,,,,
118,,html-keyboard-response,118,94449,0.0-3.0-40.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,24.29867121386377,,test,0.0,24.29867121386377,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
119,,html-keyboard-response,119,94955,0.0-3.0-41.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
120,,poldracklab-stop-signal,120,96463,0.0-3.0-42.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,650.0,"[',', '.']",,square,,14.0,stop,1.0,1,,,,,,
121,,html-keyboard-response,121,97325,0.0-3.0-43.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,860.9529661891577,,test,0.0,860.9529661891577,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
122,,html-keyboard-response,122,97830,0.0-3.0-44.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
123,,poldracklab-stop-signal,123,99333,0.0-3.0-45.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,700.0,"[',', '.']",,circle,",",15.0,go,,1,,0.0,,,,
124,,html-keyboard-response,124,99439,0.0-3.0-46.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,103.1608301582219,,test,0.0,103.1608301582219,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
125,,html-keyboard-response,125,99946,0.0-3.0-47.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
126,,poldracklab-stop-signal,126,101452,0.0-3.0-48.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,700.0,"[',', '.']",,circle,",",16.0,go,,1,,0.0,,,,
127,,html-keyboard-response,127,103607,0.0-3.0-49.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,2152.520861277887,,test,0.0,2152.520861277887,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
128,,html-keyboard-response,128,104111,0.0-3.0-50.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
129,,poldracklab-stop-signal,129,105618,0.0-3.0-51.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,700.0,"[',', '.']",,square,.,17.0,go,,1,,0.0,,,,
130,,html-keyboard-response,130,105983,0.0-3.0-52.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,362.3251900421345,,test,0.0,362.3251900421345,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
131,,html-keyboard-response,131,106485,0.0-3.0-53.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
132,,poldracklab-stop-signal,132,107991,0.0-3.0-54.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,700.0,"[',', '.']",,square,.,18.0,go,,1,,0.0,,,,
133,,html-keyboard-response,133,108244,0.0-3.0-55.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,246.31400054798323,,test,0.0,246.31400054798323,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
134,,html-keyboard-response,134,108750,0.0-3.0-56.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
135,,poldracklab-stop-signal,135,110255,0.0-3.0-57.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,700.0,"[',', '.']",,circle,",",19.0,go,,1,,0.0,,,,
136,,html-keyboard-response,136,110345,0.0-3.0-58.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,88.18940124115541,,test,0.0,88.18940124115541,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
137,,html-keyboard-response,137,110852,0.0-3.0-59.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
138,,poldracklab-stop-signal,138,112355,0.0-3.0-60.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,700.0,"[',', '.']",,square,,20.0,stop,1.0,1,,,,,,
139,,html-keyboard-response,139,113047,0.0-3.0-61.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,686.6892883078683,,test,0.0,686.6892883078683,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
140,,html-keyboard-response,140,113549,0.0-3.0-62.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
141,,poldracklab-stop-signal,141,115055,0.0-3.0-63.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,750.0,"[',', '.']",,square,.,21.0,go,,1,,0.0,,,,
142,,html-keyboard-response,142,116031,0.0-3.0-64.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,970.4657612404062,,test,0.0,970.4657612404062,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
143,,html-keyboard-response,143,116537,0.0-3.0-65.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
144,,poldracklab-stop-signal,144,118044,0.0-3.0-66.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,750.0,"[',', '.']",,square,.,22.0,go,,1,,0.0,,,,
145,,html-keyboard-response,145,118134,0.0-3.0-67.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,84.99100828190619,,test,0.0,84.99100828190619,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
146,,html-keyboard-response,146,118639,0.0-3.0-68.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
147,,poldracklab-stop-signal,147,120143,0.0-3.0-69.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,750.0,"[',', '.']",,square,.,23.0,go,,1,,0.0,,,,
148,,html-keyboard-response,148,120194,0.0-3.0-70.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,45.49507573047263,,test,0.0,45.49507573047263,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
149,,html-keyboard-response,149,120700,0.0-3.0-71.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
150,,poldracklab-stop-signal,150,122207,0.0-3.0-72.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,750.0,"[',', '.']",,square,,24.0,stop,1.0,1,,,,,,
151,,html-keyboard-response,151,122720,0.0-3.0-73.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,506.62898727064066,,test,0.0,506.62898727064066,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
152,,html-keyboard-response,152,123226,0.0-3.0-74.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
153,,poldracklab-stop-signal,153,124730,0.0-3.0-75.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,800.0,"[',', '.']",,square,.,25.0,go,,1,,0.0,,,,
154,,html-keyboard-response,154,124866,0.0-3.0-76.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,134.90809831054335,,test,0.0,134.90809831054335,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
155,,html-keyboard-response,155,125371,0.0-3.0-77.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
156,,poldracklab-stop-signal,156,126876,0.0-3.0-78.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,800.0,"[',', '.']",,circle,",",26.0,go,,1,,0.0,,,,
157,,html-keyboard-response,157,127489,0.0-3.0-79.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,607.189161141914,,test,0.0,607.189161141914,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
158,,html-keyboard-response,158,127995,0.0-3.0-80.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
159,,poldracklab-stop-signal,159,129498,0.0-3.0-81.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,800.0,"[',', '.']",,circle,,27.0,stop,1.0,1,,,,,,
160,,html-keyboard-response,160,129780,0.0-3.0-82.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,276.5051836056934,,test,0.0,276.5051836056934,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
161,,html-keyboard-response,161,130287,0.0-3.0-83.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
162,,poldracklab-stop-signal,162,131791,0.0-3.0-84.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,850.0,"[',', '.']",,square,.,28.0,go,,1,,0.0,,,,
163,,html-keyboard-response,163,131972,0.0-3.0-85.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,177.1436697167719,,test,0.0,177.1436697167719,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
164,,html-keyboard-response,164,132477,0.0-3.0-86.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
165,,poldracklab-stop-signal,165,133983,0.0-3.0-87.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,850.0,"[',', '.']",,circle,",",29.0,go,,1,,0.0,,,,
166,,html-keyboard-response,166,135422,0.0-3.0-88.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,1436.1460028759964,,test,0.0,1436.1460028759964,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
167,,html-keyboard-response,167,135929,0.0-3.0-89.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
168,,poldracklab-stop-signal,168,137435,0.0-3.0-90.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,850.0,"[',', '.']",,circle,,30.0,stop,1.0,1,,,,,,
169,,html-keyboard-response,169,137551,0.0-3.0-91.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,112.83945521906801,,test,0.0,112.83945521906801,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
170,,html-keyboard-response,170,138055,0.0-3.0-92.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
171,,poldracklab-stop-signal,171,139562,0.0-3.0-93.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,900.0,"[',', '.']",,square,.,31.0,go,,1,,0.0,,,,
172,,html-keyboard-response,172,142134,0.0-3.0-94.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,2571.407207202679,,test,0.0,2571.407207202679,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
173,,html-keyboard-response,173,142636,0.0-3.0-95.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
174,,poldracklab-stop-signal,174,144140,0.0-3.0-96.0,478.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,",",test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,900.0,"[',', '.']",,circle,",",32.0,go,,0,,1.0,,,,
175,,html-keyboard-response,175,144713,0.0-3.0-97.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,571.7623958549938,,test,0.0,571.7623958549938,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
176,,html-keyboard-response,176,145220,0.0-3.0-98.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
177,,poldracklab-stop-signal,177,146726,0.0-3.0-99.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,900.0,"[',', '.']",,circle,",",33.0,go,,1,,0.0,,,,
178,,html-keyboard-response,178,149312,0.0-3.0-100.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,2584.7515657475756,,test,0.0,2584.7515657475756,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
179,,html-keyboard-response,179,149814,0.0-3.0-101.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
180,,poldracklab-stop-signal,180,151321,0.0-3.0-102.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,900.0,"[',', '.']",,square,.,34.0,go,,1,,0.0,,,,
181,,html-keyboard-response,181,153818,0.0-3.0-103.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,2492.0461830212544,,test,0.0,2492.0461830212544,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
182,,html-keyboard-response,182,154322,0.0-3.0-104.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
183,,poldracklab-stop-signal,183,155827,0.0-3.0-105.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,900.0,"[',', '.']",,circle,,35.0,stop,1.0,1,,,,,,
184,,html-keyboard-response,184,156337,0.0-3.0-106.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,504.806091841846,,test,0.0,504.806091841846,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
185,,html-keyboard-response,185,156839,0.0-3.0-107.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
186,,poldracklab-stop-signal,186,158346,0.0-3.0-108.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,950.0,"[',', '.']",,square,.,36.0,go,,1,,0.0,,,,
187,,html-keyboard-response,187,158730,0.0-3.0-109.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,377.83054730955166,,test,0.0,377.83054730955166,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
188,,html-keyboard-response,188,159232,0.0-3.0-110.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
189,,poldracklab-stop-signal,189,160739,0.0-3.0-111.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,950.0,"[',', '.']",,square,.,37.0,go,,1,,0.0,,,,
190,,html-keyboard-response,190,161385,0.0-3.0-112.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,644.6044034774159,,test,0.0,644.6044034774159,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
191,,html-keyboard-response,191,161886,0.0-3.0-113.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
192,,poldracklab-stop-signal,192,163393,0.0-3.0-114.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,950.0,"[',', '.']",,square,.,38.0,go,,1,,0.0,,,,
193,,html-keyboard-response,193,164124,0.0-3.0-115.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,725.1169472775234,,test,0.0,725.1169472775234,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
194,,html-keyboard-response,194,164630,0.0-3.0-116.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
195,,poldracklab-stop-signal,195,166137,0.0-3.0-117.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,950.0,"[',', '.']",,circle,",",39.0,go,,1,,0.0,,,,
196,,html-keyboard-response,196,167452,0.0-3.0-118.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,1310.6318486074736,,test,0.0,1310.6318486074736,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
197,,html-keyboard-response,197,167956,0.0-3.0-119.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
198,,poldracklab-stop-signal,198,169461,0.0-3.0-120.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,950.0,"[',', '.']",,square,,40.0,stop,1.0,1,,,,,,
199,,html-keyboard-response,199,170184,0.0-3.0-121.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,719.9693142265809,,test,0.0,719.9693142265809,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
200,,html-keyboard-response,200,170687,0.0-3.0-122.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
201,,poldracklab-stop-signal,201,172190,0.0-3.0-123.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,1000.0,"[',', '.']",,square,.,41.0,go,,1,,0.0,,,,
202,,html-keyboard-response,202,172460,0.0-3.0-124.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,263.9447897290787,,test,0.0,263.9447897290787,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
203,,html-keyboard-response,203,172966,0.0-3.0-125.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
204,,poldracklab-stop-signal,204,174472,0.0-3.0-126.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,1000.0,"[',', '.']",,circle,",",42.0,go,,1,,0.0,,,,
205,,html-keyboard-response,205,174935,0.0-3.0-127.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,457.19533633668453,,test,0.0,457.19533633668453,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
206,,html-keyboard-response,206,175437,0.0-3.0-128.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,,,,,,,,,
207,,poldracklab-stop-signal,207,176945,0.0-3.0-129.0,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,1000.0,"[',', '.']",,circle,",",43.0,go,,1,,0.0,,,,
